mean_line_slope_log,mean_line_slope_body,start_body_size,end_body_size,percent_change_body,taxon,n_users_sampled,replicate
-0.08174453064098325,-29.200797567379762,163.89199617829456,130.47291919634642,-20.39091460304886,Birds,75,62
-0.0033396627584829095,-6.479623717677401,145.8290305804292,139.95172104400484,-4.030274022279013,Birds,75,63
-0.04824943540671428,-2.7180887011942345,155.66123655788604,152.93635950606443,-1.7505174133756185,Birds,75,64
-0.08883883546771001,-47.284949524424334,179.19402438872987,128.23888389653635,-28.435736440438053,Birds,75,65
-0.11085589927095406,-33.72407398677346,176.03377308779503,139.94380919643274,-20.50172717332076,Birds,75,66
-0.10112020349052121,-38.88265679725933,175.69833820776293,132.39410906761518,-24.646920159791485,Birds,75,67
-0.11416027865822813,-31.763759237070992,152.21720572799322,117.84896710219161,-22.57841908306768,Birds,75,68
-0.18910754866623153,-73.6417540730985,190.5269388301685,111.49038294392018,-41.48313953477191,Birds,75,69
-0.09417407145033481,-23.049138167032332,174.86970776836148,150.48497405152239,-13.944515621390508,Birds,75,70
-0.1751022855831808,-67.73543434257557,191.1744570716831,118.6027698966674,-37.96097464412001,Birds,75,71
-0.19613073824665248,-66.83078833041691,178.2682281124279,106.91065523412307,-40.02820560560122,Birds,75,72
-0.0729306247490357,-29.439955009883175,163.09290324760948,129.89888129103346,-20.352830378021103,Birds,75,73
-0.08054086915438129,-32.81573169681569,165.89361068603037,128.9425936532544,-22.273924161376733,Birds,75,74
-0.07691117758715485,-27.832097098846027,144.6614504135885,115.68476476965786,-20.03068928251861,Birds,75,75
-0.12903909300442118,-46.45958652433177,165.07668576628527,116.50757043752397,-29.422153166756214,Birds,75,76
-0.08925077835744054,-27.533033021604723,162.1602997652135,133.01679793875374,-17.972032531177895,Birds,75,77
-0.08472373509979393,-23.866170204488498,154.20150066993415,129.0292336451461,-16.324268515822617,Birds,75,78
-0.12409225768200444,-60.416162803885385,189.32510951861278,123.19354419596739,-34.93016087025895,Birds,75,79
-0.12677055439647944,-36.375212744653275,157.27495798128,119.60820425713362,-23.949619321233428,Birds,75,80
-0.10827914814442927,-22.276601353341718,160.50487920468026,137.22188318109949,-14.506098592734773,Birds,75,81
-0.13423138549105557,-59.05468407559506,186.30868693504783,120.3154180486143,-35.421466369649494,Birds,75,82
-0.164526545357162,-64.59279756798922,185.4960915421612,115.2455215796099,-37.87172515523548,Birds,75,83
-0.09126097443756412,-30.799968656012414,174.1170674000042,140.15001800967414,-19.508167635454466,Birds,75,84
-0.07156850692419545,-23.04533311725854,147.8792444279494,123.62780479737695,-16.39948846397331,Birds,75,85
-0.13713681384190093,-41.2246575528388,176.40042097386234,127.25758231894075,-27.858685587946074,Birds,75,86
-0.2373160886876469,-90.13148191581126,198.7279307158204,102.40488274940017,-48.469808757864804,Birds,75,87
-0.06994504533906284,-24.180664123554372,147.5377948261654,119.36011955851588,-19.09861490125261,Birds,75,88
-0.006245055460681466,5.883475127848168,144.53875348310163,151.2213493268055,4.623393852974633,Birds,75,89
-0.09348428263905915,-39.50158855989674,182.89430981720898,137.84226296374206,-24.632831332201377,Birds,75,90
-0.11372915495300424,-35.35055674200634,175.18808390796573,135.6480072299551,-22.570072002604256,Birds,75,91
-0.12229531493168862,-47.236690260507416,176.65109613760382,125.33657530802228,-29.04851537949681,Birds,75,92
-0.1224077787339989,-54.900246301889325,203.82384329146,144.89657132718054,-28.910882560494066,Birds,75,93
-0.059713088632989984,-25.267859006797817,161.7912297020873,134.4077270678824,-16.925208297524673,Birds,75,94
-0.11107454285880194,-45.45671037554395,173.70617021818353,123.65716910855298,-28.812448657849366,Birds,75,95
-0.06397574149513877,-23.370258019178415,174.58736030864162,148.43547067843386,-14.979257137501556,Birds,75,96
-0.16855071240283037,-54.011388695838946,169.74536325435957,112.51834505147586,-33.71345002050532,Birds,75,97
-0.09930468589203831,-34.730534015278565,173.99503034195334,134.34672822275013,-22.787031354448573,Birds,75,98
-0.09787331268800122,-31.883978667663225,158.33778226100998,122.4564737864042,-22.661242289889895,Birds,75,99
-0.13584804133725312,-44.566642537456,181.99515346748174,133.2771461741288,-26.76884871115961,Birds,75,100
-0.08111959514364132,-30.72035381987745,166.75279318006724,133.91357327770748,-19.69335522128165,Birds,100,1
-0.1903441633790967,-72.18311749772352,200.12489413473844,120.17506917378417,-39.94996489898269,Birds,100,2
-0.12825899645151728,-35.33362521957334,167.67192931339088,127.56295027338926,-23.921105461269576,Birds,100,3
-0.12882350104711368,-27.936912695181306,160.2794955750005,131.29237253591282,-18.085359537161494,Birds,100,4
-0.13544448523939054,-48.76517076581778,166.02225692211664,112.68633879770024,-32.125763806136554,Birds,100,5
-0.13856163562103666,-36.760132379627684,179.1077596435994,136.9759996089995,-23.52313496547357,Birds,100,6
-0.10860802485237639,-42.254555613557116,170.3047608064669,122.6802618343411,-27.964279299417793,Birds,100,7
-0.04657157657120216,-22.36969083937215,163.56482769442457,139.91726411100228,-14.45760920410174,Birds,100,8
-0.06305133907285451,-29.819820416220324,158.68257490363055,126.81986828918717,-20.079524568966633,Birds,100,9
-0.1601713586663796,-55.55669998912967,180.67821811719705,122.71524118001444,-32.08077738490031,Birds,100,10
-0.06275284334794515,-33.115312661951926,169.55672640004926,132.8748685437997,-21.633973853507303,Birds,100,11
-0.08287204820486091,-27.401880100548386,160.55276280491532,131.5282249739592,-18.077881267121697,Birds,100,12
-0.07441664207868913,-29.90892058573643,156.2463884670417,123.43965304075053,-20.996795988799033,Birds,100,13
-0.20104829395436954,-84.78492673142962,229.0421923203986,136.572236114073,-40.372455078919614,Birds,100,14
-0.05251598772875582,-15.993185832231902,142.98289613106988,125.54345554279583,-12.196871835836664,Birds,100,15
-0.048460251612266865,-17.8332765829382,165.11991621869913,146.00872395911236,-11.574129091898433,Birds,100,16
-0.10595855735947873,-41.324523370433,177.85565840694042,132.96112070682358,-25.24211942551552,Birds,100,17
-0.04647504339787406,-14.797000798489028,153.5040764721745,137.81003013284817,-10.223862909706616,Birds,100,18
-0.017763576176545733,-3.310809615804766,163.98603040062054,160.4927322305987,-2.1302413147556765,Birds,100,19
-0.11064391766700137,-44.78870082919229,193.19667605454325,145.25207044097215,-24.816475413912087,Birds,100,20
-0.1268045419126863,-55.80945896736943,195.1115377855284,134.3014905383494,-31.16681255109729,Birds,100,21
-0.09746357623914319,-40.13756629569783,168.24729422873253,126.33813827873738,-24.90925999262703,Birds,100,22
-0.09134427609157639,-30.31212479766466,175.56666029534904,142.92827364471972,-18.590310139592003,Birds,100,23
-0.15227361779364934,-48.38884227310127,176.14764590807866,122.94634220094107,-30.20267652904104,Birds,100,24
-0.0862043469562532,-36.53179542572228,185.88680922561832,145.05534420515534,-21.965767872697295,Birds,100,25
-0.14455911386717796,-53.50940752553714,181.42773913778916,125.0493498959648,-31.07484528537645,Birds,100,26
-0.06379740466389637,-22.047775220585024,153.9598052549855,131.85090514866297,-14.3601767160631,Birds,100,27
-0.07659968422165138,-25.93680199288659,174.0113207949195,145.55834212096403,-16.351222750322457,Birds,100,28
-0.06801036931765442,-32.79214415897949,180.14700596490027,143.96450355859128,-20.084986820907126,Birds,100,29
-0.1276329064804297,-36.98715270698701,173.03148946746097,132.2196628855231,-23.586358013529473,Birds,100,30
-0.050594257064294865,-14.062563286791585,159.68992454010981,142.84296348760293,-10.549795862841293,Birds,100,31
-0.08585598799785664,-31.329922033965627,169.6646004926486,135.40930723107724,-20.190006142769658,Birds,100,32
-0.023118057227018315,-11.39303492202658,154.30238640708114,141.42246582854858,-8.347194673031632,Birds,100,33
-0.1406203753753154,-24.344279862965546,160.75540216638692,135.64801494963388,-15.618378529367305,Birds,100,34
-0.0016779444052033513,-0.708107291938363,134.17736574060598,133.13523071588187,-0.7766846658316284,Birds,100,35
-0.05633960977925746,-15.406267149955049,154.79658336867806,139.72056073721407,-9.739247665148731,Birds,100,36
-0.09074126863868702,-39.85773892955197,189.46085676613671,146.47952357984187,-22.686128374975823,Birds,100,37
-0.10035211750860577,-39.54153312573356,160.6201612122302,116.41326674986477,-27.522631112263717,Birds,100,38
-0.044769612169142596,-15.651983037140795,145.0585940686511,126.75226772900731,-12.619952962580106,Birds,100,39
-0.060504408773566797,-22.968262041508737,154.00622015450688,129.50262456424605,-15.910783061669576,Birds,100,40
-0.09572535092621715,-25.07990973869435,175.3448850059109,148.75866813346562,-15.162242612066535,Birds,100,41
-0.08105639359130733,-12.008736888406155,179.33213587403097,167.1494868785737,-6.793344057428041,Birds,100,42
-0.1253801637384604,-30.15769480495607,169.48052098909216,136.37783766938833,-19.531851286812085,Birds,100,43
-0.023849014013894373,-0.369779208206179,145.78170873689328,146.98365997624018,0.8244870016691719,Birds,100,44
-0.024556244880766454,-3.9091771312862833,150.8011317918369,146.42717995398806,-2.900476797406637,Birds,100,45
-0.07630275117274943,-22.596046600300358,148.33194359117923,124.35654424047638,-16.16334200863837,Birds,100,46
-0.0913789690897103,-23.929116576937496,173.1576486860547,146.62597711843824,-15.32226371109946,Birds,100,47
-0.09248101656546294,-25.352507468727147,156.29471857966163,130.05845226629816,-16.78640618940118,Birds,100,48
-0.19091954775138986,-63.786404043502785,175.5235304521945,106.64222641541424,-39.243344672548474,Birds,100,49
-0.13181412595812605,-37.18070473716471,166.0773158954878,124.90779911721062,-24.789367865377287,Birds,100,50
-0.01572232058604129,-2.7998279401671757,141.89548515546616,139.2041067913154,-1.8967329095791685,Birds,100,51
0.0025450525010965105,10.626426744132491,137.2879780449815,148.49043332830158,8.159822471600297,Birds,100,52
-0.13097709729600823,-46.60276321390436,174.83630890560516,126.954387490787,-27.386714873207374,Birds,100,53
-0.14298402982368882,-51.48294478351379,173.7638546271001,118.40060488986012,-31.861200280144775,Birds,100,54
-0.0776414634315016,-21.429973886348954,155.6060896176486,132.6041928641847,-14.782131476977266,Birds,100,55
-0.09978727974826913,-35.32941658252149,157.35559207954728,119.53590694058063,-24.03453518184967,Birds,100,56
-0.10981929222940638,-47.77093006681163,170.47940870648662,119.10366266162299,-30.136041903639487,Birds,100,57
-0.14930041497406266,-44.50018942963698,195.74398068317598,144.03238866925255,-26.417973024479313,Birds,100,58
-0.1429090708570967,-40.19790768741332,175.9235253286108,131.8326147784858,-25.062543777341183,Birds,100,59
0.011932497086291665,2.8201239773816535,151.58446491591337,154.48987629606842,1.9166946835658338,Birds,100,60
-0.1048603318449933,-37.404053253836295,189.37564182852213,147.03274405653684,-22.35921017251331,Birds,100,61
-0.19799979775700702,-84.12880976252063,203.55693725072666,113.33316555531977,-44.32360444894875,Birds,100,62
-0.0498653442966018,-7.503024920807861,157.9099261217672,149.95973142460247,-5.034638982120853,Birds,100,63
-0.10198933857046824,-33.536089510004494,163.01241159396628,125.58440312550087,-22.96022008538322,Birds,100,64
