taxon,user_id,raw_slope,raw_intercept,n_new_species,max_years_first_species_user,predicted_start_log,predicted_end_log,predicted_start_body_size,predicted_end_body_size,absolute_change_body_size,percent_change_body_size,user_rank
Birds,738948,-0.8263604280464125,2.624885301700599,100,1.0732375085557837,2.624885301700599,1.7985248736541866,421.58514699338957,62.88178678159901,-358.70336021179054,-85.08443970807515,47
Birds,336699,-0.8043320448668947,2.5679235451040503,100,1.4811772758384667,2.5679235451040503,1.7635915002371556,369.76307951421995,58.02184041684807,-311.7412390973719,-84.30837375838743,48
Birds,5421859,-0.8017293050029431,2.4259041589214183,100,0.1971252566735113,2.4259041589214183,1.624174853918475,266.6270201114826,42.089605377205174,-224.5374147342774,-84.21405101418206,49
Birds,4517338,-0.8014919880976643,2.488912520804722,100,0.9664613278576317,2.488912520804722,1.6874205327070577,308.2566971513164,48.68784279004801,-259.5688543612684,-84.20542254556493,50
Birds,5496020,-0.7867296303833107,2.559172384903289,100,0.5530458590006845,2.559172384903289,1.7724427545199783,362.3868123994027,59.216502692632325,-303.17030970677035,-83.65931080644094,51
Birds,1348616,-0.7799391299488233,2.257161787140668,100,0.731006160164271,2.257161787140668,1.4772226571918448,180.7847475576696,30.00700545243728,-150.7777421052323,-83.40180471095042,52
Birds,2919317,-0.7773618115362182,2.468584029535752,100,2.598220396988364,2.468584029535752,1.6912222179995338,294.16027951660647,49.115912613272975,-245.0443669033335,-83.30300994614733,53
Birds,2296918,-0.7572798964026449,2.3913019290788062,100,3.4250513347022586,2.3913019290788062,1.6340220326761612,246.20786892257254,43.05484525698412,-203.15302366558842,-82.51280698484742,54
Birds,4994013,-0.7526991223941243,2.366956672620023,100,0.3203285420944558,2.366956672620023,1.6142575502258985,232.78590072744063,41.13936180747069,-191.64653891996994,-82.32738250945917,55
Birds,866528,-0.7488869722894346,2.1115574490344278,100,4.008213552361396,2.1115574490344278,1.3626704767449933,129.28777130277095,23.04997595825064,-106.23779534452031,-82.17157297555131,56
Birds,3340532,-0.7488741589143615,2.226961400103955,100,2.7734428473648185,2.226961400103955,1.4780872411895936,168.64031319841754,30.06680224681438,-138.57351095160317,-82.17104695990535,57
Birds,3482257,-0.7302366981219338,2.285735885461963,100,0.8980150581793293,2.285735885461963,1.5554991873400295,193.0793755018936,35.933472436089275,-157.1459030658043,-81.38927457027285,58
Birds,4626928,-0.730192425544526,2.6881450778598266,100,2.702258726899384,2.6881450778598266,1.9579526523153006,487.691378208042,90.77215630969911,-396.9192218983429,-81.38737727059488,59
Birds,1126489,-0.7185128440282363,2.3051712436245464,100,4.769336071184121,2.3051712436245464,1.5866583995963102,201.9162368551724,38.606319418816874,-163.30991743635553,-80.88003222519056,60
Birds,469469,-0.7035952950032823,2.4378024761791437,100,2.6064339493497606,2.4378024761791437,1.7342071811758615,274.03275452733953,54.2259514849781,-219.80680304236142,-80.21187227106893,61
Birds,1265720,-0.6873036467439596,2.442770799769841,100,1.374401095140315,2.442770799769841,1.7554671530258812,277.1856862703518,56.94651521680574,-220.23917105354607,-79.45546323728159,62
Birds,7504,-0.6847055394498084,2.423732252320483,100,0.7419575633127995,2.423732252320483,1.7390267128706745,265.2969470667617,54.83106897382455,-210.46587809293712,-79.33218999311501,63
Birds,3809,-0.6843811098002409,2.517623449143139,100,9.221081451060916,2.517623449143139,1.833242339342898,329.3240511018829,68.11493387388552,-261.20911722799735,-79.31674481533302,64
Birds,642393,-0.6767429228415803,2.613399409453671,100,3.972621492128679,2.613399409453671,1.9366564866120908,410.5815306676769,86.42840266378695,-324.15312800388995,-78.94975876697636,65
Birds,3464189,-0.6764157507927522,2.3585723989540623,100,0.621492128678987,2.3585723989540623,1.6821566481613102,228.33495381725984,48.10128164279382,-180.23367217446602,-78.933894772287,66
Birds,4687362,-0.6760898950667579,2.2351884284109143,100,2.239561943874059,2.2351884284109143,1.5590985333441565,171.86539019959957,36.23251939426969,-135.6328708053299,-78.91808272032532,67
Birds,608645,-0.6677880427185353,2.5569708553681574,100,2.6885694729637235,2.5569708553681574,1.8891828126496222,360.5544461238455,77.47878696780064,-283.0756591560448,-78.51121022060903,68
Birds,36597,-0.6634925989812035,2.2939188507153356,100,9.100616016427105,2.2939188507153356,1.6304262517341321,196.75186183392236,42.69984039771532,-154.05202143620704,-78.29761812685761,69
Birds,1084711,-0.6537609184041788,2.2535930792694687,100,3.9616700889801506,2.2535930792694687,1.59983216086529,179.30528035325992,39.79533462335727,-139.50994572990265,-77.80582114204661,70
Birds,4173919,-0.6535020633111188,2.7099174309618874,100,1.9849418206707734,2.7099174309618874,2.056415367650769,512.7638869066036,113.87158550663052,-398.89230139997306,-77.79258867203114,71
Birds,923842,-0.6533355535562358,2.540357963896094,100,6.015058179329227,2.540357963896094,1.887022410339858,347.02276345699755,77.09432500315113,-269.9284384538464,-77.78407265415471,72
Birds,970175,-0.6491755260416033,2.2637763411967793,100,2.105407255304586,2.2637763411967793,1.614600815155176,183.55927816744554,41.17189107747837,-142.38738708996718,-77.57024788476193,73
Birds,5148286,-0.6449671189559809,2.5705090481979105,100,0.16153319644079397,2.5705090481979105,1.9255419292419296,371.97097081579864,84.24457219799348,-287.72639861780516,-77.35184226520954,74
Birds,1565809,-0.6396811432771424,2.497563879976199,100,4.030116358658453,2.497563879976199,1.8578827366990565,314.45889209378663,72.09128001528852,-242.3676120784981,-77.07449786670766,75
Birds,2473012,-0.6395983774682756,1.9858326025316206,100,2.0533880903490758,1.9858326025316206,1.346234225063345,96.79047084673574,22.193930671176375,-74.59654017555937,-77.07012841551347,76
Birds,543379,-0.6332291002515861,2.3634835407372208,100,0.7720739219712526,2.3634835407372208,1.7302544404856346,230.93169367973985,53.73465198402754,-177.1970416957123,-76.73136539735957,77
Birds,6184192,-0.6314265167751947,2.674417754122891,100,0.6050650239561944,2.674417754122891,2.042991237347696,472.51734397333115,110.40563434056756,-362.11170963276356,-76.63458585198539,78
Birds,3359010,-0.6235214997365576,2.4032164889953456,100,0.37782340862423,2.4032164889953456,1.7796949892587879,253.05591261726664,60.21365491013669,-192.84225770712996,-76.20539497087088,79
Birds,372232,-0.6228627148859714,2.141922903807953,100,3.811088295687885,2.141922903807953,1.5190601889219817,138.6509673074287,33.04153301622273,-105.60943429120596,-76.16927335028234,80
Birds,2097451,-0.6213522634645819,2.218411920221918,100,4.758384668035592,2.218411920221918,1.5970596567573359,165.3529396507538,39.54209332393326,-125.81084632682054,-76.0862471465877,81
Birds,1752866,-0.6165258411502178,2.6793422040257298,100,2.1409993155373033,2.6793422040257298,2.062816362875512,477.9056929867594,115.56234949080537,-362.343343495954,-75.81900546767349,82
Birds,4883773,-0.6150772689273447,2.4857726099677153,100,0.7994524298425736,2.4857726099677153,1.8706953410403706,306.03606555084684,74.24980903891,-231.78625651193684,-75.73821604807762,83
Birds,1910114,-0.6098720742293694,2.475417307227114,100,2.7816563997262147,2.475417307227114,1.8655452329977447,298.8252608135489,73.37451320680354,-225.45074760674532,-75.44567918821784,84
