taxon,first_species_number,median_relative_time,q25_relative_time,q75_relative_time,median_years_since_first_species,q25_years_since_first_species,q75_years_since_first_species,n_users_contributing
Birds,46,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.6817248459958932,0.3203285420944558,1.5140314852840522,539
Birds,47,0.46464646464646464,0.46464646464646464,0.46464646464646464,0.6954140999315537,0.33401779603011633,1.5633127994524298,539
Birds,48,0.47474747474747475,0.47474747474747475,0.47474747474747475,0.7173169062286106,0.34496919917864477,1.6057494866529773,539
Birds,49,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.7282683093771389,0.35592060232717315,1.6262833675564683,539
Birds,50,0.494949494949495,0.494949494949495,0.494949494949495,0.7392197125256673,0.3613963039014374,1.6687200547570158,539
Birds,51,0.5050505050505051,0.5050505050505051,0.5050505050505051,0.758384668035592,0.36960985626283366,1.672826830937714,539
Birds,52,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.7802874743326489,0.37782340862423,1.7125256673511293,539
Birds,53,0.5252525252525253,0.5252525252525253,0.5252525252525253,0.7939767282683093,0.4024640657084189,1.7426420260095825,539
Birds,54,0.5353535353535354,0.5353535353535354,0.5353535353535354,0.7994524298425736,0.42847364818617384,1.7590691307323751,539
Birds,55,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.8213552361396304,0.4421629021218344,1.7686516084873374,539
Birds,56,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8432580424366872,0.45722108145106094,1.7919233401779602,539
Birds,57,0.5656565656565656,0.5656565656565656,0.5656565656565656,0.8761122518822724,0.46406570841889117,1.809719370294319,539
Birds,58,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.9007529089664613,0.47775496235455167,1.835728952772074,539
Birds,59,0.5858585858585859,0.5858585858585859,0.5858585858585859,0.9034907597535934,0.48186173853524983,1.8631074606433948,539
Birds,60,0.5959595959595959,0.5959595959595959,0.5959595959595959,0.9226557152635181,0.487337440109514,1.8781656399726216,539
Birds,61,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.944558521560575,0.49828884325804246,1.9233401779603012,539
Birds,62,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.9582477754962354,0.5037645448323066,1.9383983572895276,539
Birds,63,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.9883641341546886,0.5256673511293635,1.9534565366187544,539
Birds,64,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.9965776865160849,0.5270362765229295,1.998631074606434,539
Birds,65,0.6464646464646465,0.6464646464646465,0.6464646464646465,1.0157426420260096,0.5297741273100616,2.015058179329227,539
Birds,66,0.6565656565656566,0.6565656565656566,0.6565656565656566,1.0212183436002737,0.5366187542778919,2.0602327173169064,539
Birds,67,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0431211498973305,0.5448323066392882,2.093086926762491,539
Birds,68,0.6767676767676768,0.6767676767676768,0.6767676767676768,1.0650239561943875,0.5585215605749486,2.1177275838466807,539
Birds,69,0.6868686868686869,0.6868686868686869,0.6868686868686869,1.0924024640657084,0.5763175906913074,2.1711156741957565,539
Birds,70,0.696969696969697,0.696969696969697,0.696969696969697,1.1143052703627652,0.5776865160848734,2.201232032854209,539
Birds,71,0.7070707070707071,0.7070707070707071,0.7070707070707071,1.1197809719370295,0.5776865160848734,2.2245037645448322,539
Birds,72,0.7171717171717171,0.7171717171717171,0.7171717171717171,1.1334702258726899,0.5954825462012321,2.2327173169062284,539
Birds,73,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.1416837782340863,0.5995893223819302,2.2518822724161534,539
Birds,74,0.7373737373737373,0.7373737373737373,0.7373737373737373,1.1718001368925393,0.6050650239561944,2.2628336755646816,539
Birds,75,0.7474747474747475,0.7474747474747475,0.7474747474747475,1.1964407939767283,0.6146475017111568,2.291581108829569,539
Birds,76,0.7575757575757576,0.7575757575757576,0.7575757575757576,1.2101300479123889,0.6310746064339494,2.298425735797399,539
