taxon,sample_size,run,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,75,2,relative_time_first_species,-0.19344748199310585,0.06197998513752185,-0.3169452979960311,-0.06994966599018057,-3.121128241058505,0.0025693918772499245
Birds,75,3,(Intercept),2.087991800611704,0.03785027815588828,2.0125734753619215,2.163410125861487,55.164503468434354,7.304763281795645e-62
Birds,75,3,relative_time_first_species,-0.10477799115731207,0.0581102818881265,-0.22056525499473506,0.011009272680110913,-1.8030886747207646,0.07544524661776787
Birds,75,4,(Intercept),2.1119928905103316,0.03697040615691928,2.0383277497400787,2.1856580312805844,57.12658069121745,5.831558886713055e-63
Birds,75,4,relative_time_first_species,-0.11500671383199625,0.05310467571900008,-0.22082008814569354,-0.00919333951829894,-2.165660787395572,0.03355981180102306
Birds,75,5,(Intercept),2.053155012028304,0.031421410218032866,1.9905464862397626,2.1157635378168456,65.34254821096447,3.3915923813673715e-67
Birds,75,5,relative_time_first_species,-0.09998385322089011,0.04705410361357229,-0.19374120025031205,-0.006226506191468181,-2.1248700016049344,0.0369368160869425
Birds,75,6,(Intercept),2.1115475012453,0.018326853536223126,2.0756216125262794,2.147473389964321,115.2160406079426,0
Birds,75,6,relative_time_first_species,-0.10981090340774606,0.03925680073705327,-0.190933333109627,-0.028688473705865095,-2.797245352296347,0.010122586973908356
Birds,75,7,(Intercept),2.087791713177241,0.03183962397103095,2.0243498781925933,2.1512335481618887,65.57212217948313,2.6277415119978394e-67
Birds,75,7,relative_time_first_species,-0.07719217820846973,0.04921627957898002,-0.17525775532979243,0.020873398912852975,-1.5684277411622567,0.12104781177934631
Birds,75,8,(Intercept),2.127106630800353,0.03938078377919057,2.048638705122836,2.2055745564778695,54.013821632578825,3.348941346114606e-61
Birds,75,8,relative_time_first_species,-0.11785232558672697,0.06280389193757234,-0.24299181312533025,0.0072871619518763,-1.8765130941864763,0.06452770112011245
Birds,75,9,(Intercept),2.138196594926385,0.034436454783911094,2.0695804596330336,2.206812730219736,62.09107785175849,1.3862302182295648e-65
Birds,75,9,relative_time_first_species,-0.18087491858186694,0.055843680259999,-0.29214588144590464,-0.06960395571782922,-3.2389505444437585,0.001797711910350388
Birds,75,10,(Intercept),2.1512641274792044,0.041457624066819,2.068658007850679,2.23387024710773,51.89067574185923,6.038297012893825e-60
